Subject,Predicate,Object,Decision,Notes
DatabaseIdentifier,referenceDatabase,ReferenceDatabase,Maybe,Taxonomy to Reference Database; Might be useful if provenance is to be written on the node
InstanceEdit,created,DatabaseIdentifier,Exclude,"provenance are writtien on edges, right now, and if it's necesary to include, we might need to carefully decide which author to include"
ReferenceSequence,crossReference,DatabaseIdentifier,IDMapping/Exclude,Maps protein ref sequences to external DBs
ReferenceDNASequence,referenceDatabase,ReferenceDatabase,IDMapping/Exclude,Maps DNA sequences (genes?) to external DBs. Probably Exclude
ReferenceDNASequence,species,Species,Include,"Relates Genes to Species. Use ""NCBITaxon:""+taxon property to normalize"
InstanceEdit,created,ReferenceDNASequence,Exclude,Manual edits to genes made by Reactome curators
ReferenceSequence,referenceGene,ReferenceDNASequence,Include,Protein(Uniprot) to Gene DNA sequence mapping.
EntityWithAccessionedSequence,compartment,GO_Term,Include,Protein/GeneProduct to GO cellular components. 
EntityWithAccessionedSequence,species,Species,Include,Species to GeneProduct. Could be useful for filtering
InstanceEdit,created,EntityWithAccessionedSequence,Exclude,Manual edits to GeneProducts made by Reactome curators
EntityWithAccessionedSequence,referenceEntity,ReferenceSequence,IDMapping/Include,GeneProduct to Uniprot protein entry.
EntityWithAccessionedSequence,inferredTo,EntityWithAccessionedSequence,Exclude,Interspecies orthologous proteins. Leaning toward exclusion as source of inference is not clear.
Person,author,Publication,Provenance/Exclude,Paper authorship.
InstanceEdit,created,Person,Exclude,Manual edits to authors.
DefinedSet,hasMember,EntityWithAccessionedSequence,Maybe,Describes members of a set of proteins with related structures or functions. Similar to GeneFamily perhaps
Complex,hasComponent,EntityWithAccessionedSequence,Include,Protein complexes to individual gene products. Edges include bond order and stoichiometry (important aspects to capture)
ReferenceRNASequence,referenceDatabase,ReferenceDatabase,Attribute/Exclude,RNA sequences mapping to external DBs
ReferenceRNASequence,species,Species,Include,"MappingRNA sequences to species. Use ""NCBITaxon:""+taxon property to normalize"
InstanceEdit,created,ReferenceRNASequence,Exclude,Manual edits of RNA sequence nodes
ReferenceSequence,referenceTranscript,ReferenceRNASequence,Maybe,RNA sequences to Uniprot entries. Could be useful when RNAs act as enzymes
Person,author,InstanceEdit,Exclude,Tracks who made InstanceEdits within Reactome
Reaction,compartment,GO_Term,Include,Tracks location (GO cellular component) in which ReactionLikeEvents occur
ReferenceSequence,referenceDatabase,ReferenceDatabase,Provenance/Exclude,Just points reference sequences for proteins/DNA to databases from which they were taken
ReferenceSequence,species,Species,Include,"Points Uniprot/Intact GeneProducts to their species of origin. Use ""NCBITaxon:""+taxon property to normalize"
Complex,species,Species,Include,"Links protein complexes to their species. Use ""NCBITaxon:""+taxon property to normalize"
Complex,compartment,GO_Term,Include,Describes localization of protein complex
InstanceEdit,created,Complex,Exclude,Manual edits to protein complexes
Interaction,interactor,ReferenceSequence,Maybe,"Captures proteins involved in protein-protein interactions (represented as a node). May be redundant as we already ingest Intact, but edges include bond order/stoichiometry for the interaction."
EntityWithAccessionedSequence,hasModifiedResidue,AbstractModifiedResidue,Attribute/Include,"Describes protein post-translational modifications (in an abstract sense) that are linked to modified proteins. Describes AA residue and type of modification, so may be useful for histone PTMs. For example, ""N6-acetyl-L-lysine at 9"" is linked to a node representing H4K9ac."
InstanceEdit,created,ReferenceSequence,Exclude,Manual edit
InstanceEdit,modified,ReferenceSequence,Exclude,Manual edit
Complex,inferredTo,Complex,Maybe,Cross-species protein complex orthologs. Not clear how inference is made.
Complex,summation,Summation,Attribute/Include,Summary text for protein complexes. May be useful as a property of complex nodes.
Pathway,hasEvent,Reaction,Include,Important triple. Describes ReactionLikeEvents that take place within a pathway.
Reaction,species,Species,Include,"Describes species where reaction occurs. Use ""NCBITaxon:""+taxon property to normalize."
Reaction,summation,Summation,Attribute/Include,"Summary text for the meaning of a reaction event. Could be modelled as a ""reaction"" node property."
InstanceEdit,created,Reaction,Exclude,Manual Edit
Reaction,inferredTo,Reaction,Maybe,Species-to-species reaction mapping. Not sure if it would be useful.
Reaction,evidenceType,EvidenceType,Provenance/Exclude,"There is only one EvidenceType node in the graph called ""inferred by electronic annotation"". Unlikely to be useful."
Reaction,input,SimpleEntity,Include,"Important triple. Describes small/simple molecules, like ATP/GTP/etc., that are input to reaction events."
Reaction,output,SimpleEntity,Include,"Important triple. Describes small/simple molecules, like ATP/GTP/etc., that are output of reaction events."
Complex,hasComponent,Complex,Include,Describes involvment of smaller protein complexes in larger ones. Good info.
Reaction,precedingEvent,Reaction,Include,A chain of these triples describes that series of key event in biochemical processes/pathways. These could be extremely helpful for increasing detail of pathway knowledge in our graphs.
Interaction,referenceDatabase,ReferenceDatabase,Provenance/Exclude,Describes source database for PPIs. Usually IntAct
InstanceEdit,created,Interaction,Exclude,Manual edit
Reaction,output,Complex,Include,Important triple. Describes protein complexes as the output of reaction events.
Reaction,catalystActivity,CatalystActivity,RDF_edge/Exclude,Describes the general type of catalysis going on in a reaction event.
Reaction,input,Complex,Include,Important triple. Describes protein complexes as the input to reaction events.
CatalystActivity,activity,GO_MolecularFunction,RDF_edge/Include,Maps GO molecular activity nodes to REACTOME Catalytic activities description. Could be useful for querying.
InstanceEdit,created,CatalystActivity,Exclude,Manual edit
DefinedSet,compartment,GO_Term,Maybe,Describes cellular compartment of proteins sets sharing characteristics
InstanceEdit,created,DefinedSet,Exclude,Manual edit
DefinedSet,species,Species,Maybe,Defined sets of proteins linked to species.
InstanceEdit,created,Publication,Exclude,Manual edit
AbstractModifiedResidue,referenceSequence,ReferenceSequence,Exclude,location of lysine. Meaning of relationship is unclear
AbstractModifiedResidue,psiMod,ExternalOntology,Attribute/Exclude,Maps general concept of phosphorylated residues to individual instances.
InstanceEdit,created,AbstractModifiedResidue,Exclude,Manual edit
Reaction,literatureReference,Publication,Provenance/Exclude,Links reaction event to literature source. Use as property of the reaction node.
CandidateSet,hasCandidate,EntityWithAccessionedSequence,Maybe,Set of a group of related. Not immediately interesting.
Reaction,input,EntityWithAccessionedSequence,Include,Important triple. Describes the proteins which are input to a reaction event.
Complex,hasComponent,DefinedSet,Maybe,Describes protein complexes which are part of a larger defined set of protein.
InstanceEdit,modified,EntityWithAccessionedSequence,Exclude,Manual edit
Pathway,summation,Summation,Attribute/Include,Text summary of pathway. Put this information on the pathway node as node property
Pathway,species,Species,Include,"Describes species in which pathway takes place. Use ""NCBITaxon:""+taxon property to normalize."
InstanceEdit,created,Pathway,Exclude,Manual edit
Summation,literatureReference,Publication,Exclude,Text summary of publication. Not immediately useful
Pathway,hasEvent,Pathway,Include,"Important triple. Describes pathway hierarchy, with top level pathways connecting to more specific ones."
DefinedSet,inferredTo,DefinedSet,Exclude,Inferred that defined set for one species is related to a set in another species.
DefinedSet,hasMember,Complex,Maybe,Describes protein complex members in a defined set.
CatalystActivity,physicalEntity,Complex,RDF_edge/Maybe,Describes the catalytic activity of a protein complex.
Pathway,inferredTo,Pathway,Exclude,Inferrence of pathway in one species to pathway in another
Pathway,evidenceType,EvidenceType,Exclude,"Everything links to ""Inferred by electronic annotation"""
InstanceEdit,created,Summation,Exclude,Manual edit
Complex,hasComponent,SimpleEntity,Include,Describes small molecules important to protein complexes
EntityWithAccessionedSequence,hasModifiedResidue,GroupModifiedResidue,Maybe,Links proteins to general concepts of modified residues
InstanceEdit,reviewed,Reaction,Exclude,Manual edit
Reaction,input,DefinedSet,Exclude,Not sure what the meaning of this is.
InstanceEdit,modified,Person,Exclude,Manual edit
BlackBoxEvent,compartment,GO_Term,Include,Important triple. Points reaction events to the cellular component where they occur.
Pathway,compartment,GO_Term,Include,Important triple. Describes location where pathways operate.
EntityWithAccessionedSequence,inferredTo,DefinedSet,Exclude,Mapping proteins to defined sets from other species
InstanceEdit,modified,Summation,Exclude,Manual edit
InstanceEdit,modified,Reaction,Exclude,Manual edit
InstanceEdit,authored,Reaction,Exclude,Manual edit
InstanceEdit,edited,Reaction,Exclude,Manual edit
Reaction,output,EntityWithAccessionedSequence,Include,Important triples. Shows protein sequences that are outputs of reaction events.
Pathway,goBiologicalProcess,GO_BiologicalProcess,Include,Important triple. Links Reactome pathways to GO biological processes
GroupModifiedResidue,referenceSequence,ReferenceSequence,Maybe,Links PTMs to protein sequences
GroupModifiedResidue,psiMod,ExternalOntology,Exclude,Maps PTMs to external db refererence
InstanceEdit,created,GroupModifiedResidue,Exclude,Manual edit
Pathway,literatureReference,Publication,Provenance/Exclude,Links pathways to publications describing them.
CandidateSet,hasMember,EntityWithAccessionedSequence,Exclude,Unclear what this means
InstanceEdit,modified,Complex,Exclude,Manual edit
EntityWithAccessionedSequence,disease,Disease,Maybe,Links specific protein sequences (maybe mutations) to diseases
CatalystActivity,physicalEntity,EntityWithAccessionedSequence,RDF_edge/Maybe,"Links protein sequences to catalytic activity, only dbId on CatalystActivity nodes."
DefinedSet,hasMember,DefinedSet,Exclude,Describes membership of a set of proteins to another set
CandidateSet,compartment,GO_Term,Maybe,Describes cellular compartments of candidate entity sets
BlackBoxEvent,summation,Summation,Attribute/Include,Text summary of BlackBoxEvents. Maybe include as node property on BBE
BlackBoxEvent,species,Species,Include,"Maps BBEs to species. Use ""NCBITaxon:""+taxon property to normalize"
Complex,hasComponent,GenomeEncodedEntity,Include,Links protein complexes to constituent gene products
InstanceEdit,created,BlackBoxEvent,Exclude,Manual edit
Pathway,hasEvent,BlackBoxEvent,Include,Links pathways to blackbox reaction events involved.
InstanceEdit,created,CandidateSet,Exclude,Manual edit
CandidateSet,species,Species,Include,"Map candidate set to species. Use ""NCBITaxon:""+taxon property to normalize"
Complex,hasComponent,CandidateSet,Maybe,Links candidate protein sets to protein complexes.
GroupModifiedResidue,modification,ReferenceGroup,Maybe,Modified residue type to reference type
CandidateSet,inferredTo,CandidateSet,Exclude,Inference across species
Reaction,output,DefinedSet,Maybe,Describes defined sets that are outputs of Reactions
BlackBoxEvent,literatureReference,Publication,Provenance/Exclude,Use as node property. Publication source for black box events
Complex,includedLocation,GO_Term,Include,Complex to cellular component
BlackBoxEvent,inferredTo,BlackBoxEvent,Exclude,Inference across species
CatalystActivity,physicalEntity,DefinedSet,RDF_edge/Maybe,Describes catalytic activity shared by defined sets of entities
BlackBoxEvent,evidenceType,EvidenceType,Exclude,"Everything maps to ""inferred by electronic annotation"""
GenomeEncodedEntity,compartment,GO_Term,Include,Describe cellular localization of genomic entity
GenomeEncodedEntity,species,Species,Include,"Map Entities to Taxon. Could be useful. Use ""NCBITaxon:""+taxon property to normalize"
InstanceEdit,created,GenomeEncodedEntity,Exclude,Manual edit
CatalystActivity,activeUnit,EntityWithAccessionedSequence,RDF_edge/Maybe,Describes catalyst activity of proteins. Only dbId on catalyst activity node.
BlackBoxEvent,input,Complex,Include,BlackBoxEvents has protein complex as input
InstanceEdit,modified,CatalystActivity,Exclude,Manual edit
Reaction,precedingEvent,BlackBoxEvent,Include,Important triple. Describes reaction events preceding black box events
BlackBoxEvent,output,Complex,Include,Important triple. Shows protein complexes that are outputs of blackbox events.
BlackBoxEvent,precedingEvent,Reaction,Include,Important triple. Describes black box events preceeding reaction events
Pathway,hasEncapsulatedEvent,Pathway,Include,Shows pathways that occur as part of larger pathways
Complex,literatureReference,Publication,Provenance/Exclude,Include as a node property for referencing protein complexes
EntityWithAccessionedSequence,crossReference,DatabaseIdentifier,IDMapping/Exclude,May be necessary to normalize EntityWithAccessionedSequences
InstanceEdit,modified,Publication,Exclude,Manual edit
BlackBoxEvent,output,EntityWithAccessionedSequence,Include,Important triple. Shows proteins as an output of black box events
GroupModifiedResidue,modification,Polymer,Maybe,Molecular modifications of polymer biomolecules
InstanceEdit,reviewed,BlackBoxEvent,Exclude,Manual edit
GeneticallyModifiedResidue,psiMod,ExternalOntology,Attribute/Exclude,Maps modified residue to external ontologies
Complex,hasComponent,OtherEntity,Include,"Links complexes to general ""other"" biological objects(e.g.,DNA double-strand break ends [nucleoplasm])"
SimpleEntity,referenceEntity,ReferenceMolecule,IDMapping/Include,"Maps ""simple entities"" to ChEBI ontology chemicals. Could be useful for normalization"
SimpleEntity,compartment,GO_Term,Include,Describes subcellular location of SimpleEntity nodes
EntityWithAccessionedSequence,inferredTo,GenomeEncodedEntity,Include,Maps Accessioned protein entities to genes. Should be handled by conflation already
Reaction,input,CandidateSet,Maybe,Describes reactions as input to candidate set of proteins. Confusing directionality of edge
ReferenceMolecule,crossReference,DatabaseIdentifier,IDMapping/Exclude,Maps molecule IDs across different ontologies. Could be useful for normalization
InstanceEdit,modified,SimpleEntity,Exclude,Manual edit
BlackBoxEvent,input,EntityWithAccessionedSequence,Include,Describes accessioned entities as inputs to black box events
EntityWithAccessionedSequence,literatureReference,Publication,Provenance/Exclude,Describes literature referencing accessioned entities. Maybe too much detail
InstanceEdit,created,SimpleEntity,Exclude,Manual edit
DefinedSet,inferredTo,EntityWithAccessionedSequence,Maybe,Defined set of proteins inferred to individual accessioned entities
InstanceEdit,reviewed,Pathway,Exclude,Manual edit
Reaction,regulatedBy,NegativeRegulation,Maybe,"Reaction event negatively regulated by another process. Could be useful, but abstracted to an edge directly between Reaction and the thing being regulated."
Reaction,goBiologicalProcess,GO_BiologicalProcess,Include,Important triple. Links Reaction events to broader GO Biological Processes in which they are important.
CandidateSet,hasCandidate,DefinedSet,Maybe,Describes membership of defined sets of proteins in candidate sets
CandidateSet,hasCandidate,Complex,Maybe,Describes membership of protein complexes in candidate sets
InstanceEdit,modified,Pathway,Exclude,Manual edit
InstanceEdit,modified,DefinedSet,Exclude,Manual edit
DefinedSet,hasMember,SimpleEntity,Maybe,Describes membership of simple molecular entities in defined sets
InstanceEdit,authored,BlackBoxEvent,Exclude,Manual edit
InstanceEdit,authored,Pathway,Exclude,Manual edit
InstanceEdit,edited,BlackBoxEvent,Exclude,Manual edit
CandidateSet,hasMember,Complex,Maybe,Describes membership of protein complexes in candidate sets
InstanceEdit,modified,BlackBoxEvent,Exclude,Manual edit
InstanceEdit,created,NegativeRegulation,Exclude,Manual edit
Reaction,regulatedBy,Regulation,Maybe,"Reaction event is regulated by some other process. Could be useful, but abstracted to an edge directly between Reaction and the thing being regulated."
InstanceEdit,edited,Pathway,Exclude,Manual edit
BlackBoxEvent,catalystActivity,CatalystActivity,RDF_edge/Exclude,"Describes catalyst activity important in black box events, but catalyst activity nodes only have dbId"
InstanceEdit,modified,DatabaseIdentifier,Exclude,Manual edit
EntityWithAccessionedSequence,hasModifiedResidue,GeneticallyModifiedResidue,Attribute/Include,Describes modified residues of accessioned protein entities. Maybe too much detail
Complex,disease,Disease,Include,"Disease associated complexes. ""databaseName""+"":""+""identifier""==Robokop Disease Node id, however, it seems that complex IDs do not normalize as of 05/2023"
InstanceEdit,modified,InstanceEdit,Exclude,Manual edit
ControlReference,literatureReference,Publication,Provenance/Exclude,Not needed
InstanceEdit,created,Regulation,Exclude,Manual edit
Drug,disease,Disease,Include,"Could be useful treats edges, but may be redundant. Hopefully ORION would sort out any duplicates in the resulting KGX. Another issue is that Drug Reactome IDs do not normalize, so mapping must occur"
ReferenceMolecule,referenceDatabase,ReferenceDatabase,IDMapping/Exclude,Maps all ChEBI molecules to a single node representing the ChEBI ontology
CatalystActivity,physicalEntity,CandidateSet,RDF_edge/Maybe,Links catalyst activity to candidate set
InstanceEdit,modified,ReferenceMolecule,Exclude,Manual edit
BlackBoxEvent,output,SimpleEntity,Include,Important triple. Describes simple molecular entities as output of black box events
InstanceEdit,created,GeneticallyModifiedResidue,Exclude,Manual edit
GeneticallyModifiedResidue,referenceSequence,ReferenceSequence,Maybe,"Links genes to observed genetic modifications. Genetically modified residue will not normalize, maybe map to external ID."
TopLevelPathway,hasEvent,Pathway,Include,Important triple. Describes hierarchy of pathways from the TopLevel to lower level pathways.
EntityWithAccessionedSequence,hasModifiedResidue,FragmentReplacedModification,Maybe,Describes possible fragments (multiple sequential residues) which may be modified in a protein. FragmentReplacedModification will not normalize as of now.
InstanceEdit,created,FragmentReplacedModification,Exclude,Manual edit
FragmentReplacedModification,referenceSequence,ReferenceSequence,Maybe,Links a fragment modification to the reference sequence of the modified protein
BlackBoxEvent,input,SimpleEntity,Include,Important triple. Describes simple molecular entities as input to black box events
Pathway,crossReference,DatabaseIdentifier,IDMapping/Exclude,Maps Pathways to EBI BioModels IDs. Not needed since REACT pathways normalize.
InstanceEdit,modified,AbstractModifiedResidue,Exclude,Manual edit
InstanceEdit,created,InstanceEdit,Exclude,Manual edit
NegativeRegulation,regulator,Complex,Maybe,Links complexes to the concept that they can be negative regulators. Unclear on usefulness
BlackBoxEvent,output,DefinedSet,Maybe,Links black box events to defined sets of proteins
BlackBoxEvent,precedingEvent,BlackBoxEvent,Include,Important triple. Describes sequential order of black box events.
FailedReaction,literatureReference,Publication,Provenance/Exclude,Description of failed reaction event due to some error. Links to to a publication
EntityWithAccessionedSequence,referenceEntity,ReferenceDNASequence,IDMapping/Maybe,Links entity with accession sequence to a reference DNA sequence with ENSEMBL ID
GO_MolecularFunction,referenceDatabase,ReferenceDatabase,Exclude,Just maps all GO terms to a node represention GO ontology
InstanceEdit,modified,GO_MolecularFunction,Exclude,Manual edit
Polymer,compartment,GO_Term,Include,Describes cellular compartment localization of Polymer entities
InstanceEdit,created,Polymer,Exclude,Manual edit
Polymer,species,Species,Include,Links polymers to the species they are found in
CatalystActivity,activeUnit,Complex,RDF_edge/Maybe,Links protein complexes to their catalyst activities
InstanceEdit,created,ReferenceMolecule,Exclude,Manual edit
InstanceEdit,created,ControlReference,Exclude,Manual edit
Complex,hasComponent,Polymer,Include,Polymers as members of a complex
Reaction,output,CandidateSet,Maybe,Candidate sets as outputs of reactions
Reaction,crossReference,DatabaseIdentifier,IDMapping/Exclude,Could be useful. It links REACTOME reactions to RHEA db identifiers
BlackBoxEvent,input,DefinedSet,Maybe,
Polymer,inferredTo,Polymer,Exclude,
CatalystActivityReference,literatureReference,Publication,Exclude,
SimpleEntity,crossReference,DatabaseIdentifier,IDMapping/Exclude,Could be useful. Links SimpleEntities to KEGG.COMPOUND IDs. May be needed for normalization.
Polymer,summation,Summation,Maybe,Could be useful as a node property
Pathway,precedingEvent,Pathway,Include,Important triple. Shows sequential order of pathways
Reaction,disease,Disease,Maybe,"Seems extremely useful at first glance, but every pathway just connects to ""cancer"", so less interesting than initially thought."
Regulation,regulator,Complex,Maybe,Describes concept of regulation by a complex. Unsure if useful
EntityWithAccessionedSequence,hasModifiedResidue,NonsenseMutation,Maybe,Describes possible nonsense mutations of accessioned sequences
InstanceEdit,created,NonsenseMutation,Exclude,Manual edit
NonsenseMutation,referenceSequence,ReferenceSequence,Exclude,Links mutations to proteins where they occur.
NonsenseMutation,psiMod,ExternalOntology,Exclude,
Reaction,catalystActivityReference,CatalystActivityReference,Exclude,
BlackBoxEvent,regulationReference,ControlReference,Exclude,
Reaction,input,OtherEntity,Maybe,Maps reactions to entities that are involved (DNA ds break repair reactions mapped to the concept of DNA ds breaks)
InstanceEdit,created,ReferenceTherapeutic,Exclude,Manual edit
ReferenceTherapeutic,referenceDatabase,ReferenceDatabase,IDMapping/Exclude,Maps drugs to database they are identified by
Drug,compartment,GO_Term,Include,Describes localization of drugs to cellular components
Drug,referenceEntity,ReferenceTherapeutic,IDMapping/Include,"Important triple. Links drugs to reference IDs (GtoP,PubChem,etc.)"
InstanceEdit,created,Drug,Exclude,Manual edit
InstanceEdit,modified,ReferenceTherapeutic,Exclude,Manual edit
EntityFunctionalStatus,functionalStatus,FunctionalStatus,Maybe,
Reaction,relatedSpecies,Species,Include,
DefinedSet,hasMember,Polymer,Maybe,
DefinedSet,literatureReference,Publication,Attribute/Exclude,description of defined set from a literature source
InstanceEdit,revised,Reaction,Exclude,Manual edit
InstanceEdit,modified,CandidateSet,Exclude,Manual edit
DefinedSet,hasMember,Drug,Maybe,
InstanceEdit,modified,GO_BiologicalProcess,Exclude,Manual edit
GO_BiologicalProcess,referenceDatabase,ReferenceDatabase,,
BlackBoxEvent,regulatedBy,PositiveGeneExpressionRegulation,,
EntityWithAccessionedSequence,hasModifiedResidue,CrosslinkedResidue,,
CatalystActivity,activeUnit,DefinedSet,RDF_edge/Maybe,
InstanceEdit,created,PositiveGeneExpressionRegulation,Exclude,Manual edit
InstanceEdit,authored,EntityWithAccessionedSequence,Exclude,Manual edit
CatalystActivityReference,catalystActivity,CatalystActivity,Exclude,
InstanceEdit,created,CatalystActivityReference,Exclude,Manual edit
ReferenceTherapeutic,crossReference,DatabaseIdentifier,IDMapping/Exclude,
CandidateSet,hasMember,DefinedSet,Maybe,
GenomeEncodedEntity,crossReference,DatabaseIdentifier,IDMapping/Exclude,
Complex,crossReference,DatabaseIdentifier,IDMapping/Exclude,
InstanceEdit,created,Figure,Exclude,Manual edit
Reaction,input,Polymer,Include,
Pathway,disease,Disease,Include,
Complex,relatedSpecies,Species,Include,
GenomeEncodedEntity,inferredTo,GenomeEncodedEntity,,
BlackBoxEvent,regulatedBy,Regulation,,
InstanceEdit,created,Disease,Exclude,Manual edit
Disease,referenceDatabase,ReferenceDatabase,,
EntityWithAccessionedSequence,hasModifiedResidue,IntraChainCrosslinkedResidue,,
PositiveGeneExpressionRegulation,regulator,Complex,,
FailedReaction,compartment,GO_Term,,
InstanceEdit,created,Requirement,Exclude,Manual edit
InstanceEdit,modified,ReferenceDNASequence,Exclude,Manual edit
InstanceEdit,modified,NegativeRegulation,Exclude,Manual edit
InstanceEdit,modified,NonsenseMutation,Exclude,Manual edit
